#,Etapa,Documento,Status,Severidade,Observação,Ação recomendada,Fonte
1,Matrícula,,Pendente,,,,
2,Certidão cadastral (PMF),,Pendente,,,,
3,Certidão de confrontantes (PMF),,Pendente,,,,
4,Viabilidade Técnica Construtiva (PMF - zoneamento e exigências legais),,Pendente,,,,
5,Levantamento topográfico,,Pendente,,,,
6,Estudo ambiental (EVA),,Pendente,,,,
7,Sondagem (SPT),,Pendente,,,,
8,Estrutura,,Pendente,,,,
9,Fundação,,Pendente,,,,
10,Validação do EP (arquiteto),,Pendente,,,,
11,Documentação de instalações,,Não se aplica,,,,
12,Documentação SPU (só terreno de marinha),,Não se aplica,,,,
